baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MSTRG.909	15.609620142779	-7.3604986805053	1.84876300733752	-3.98131001718034	6.85364890602228e-05	0.0786798894411357
MSTRG.240	3.73577385804652	-3.26190231080691	1.05039168561169	-3.10541520414582	0.00190012093081979	0.819899322464435
MSTRG.824	14.6523570377648	3.09315119159025	1.00763294492738	3.0697201864645	0.00214259404825201	0.819899322464435
MSTRG.1062	117.866591769775	1.51357068984457	0.512393602098532	2.95392191402405	0.00313763385695662	0.900500916946551
NM_001143981	7.7779839065204	-0.677582309371354	1.6996876005247	-0.398651086918668	0.690150313382388	0.990580197718261
MSTRG.369	8.17466946855996	-0.344651982114276	0.653319035478103	-0.527540088988923	0.597818584844694	0.990580197718261
MSTRG.368	162.046023446103	-0.234215933041675	0.44294535418642	-0.528769363597618	0.596965452728324	0.990580197718261
MSTRG.367	1297.54368380357	-0.0723347410386711	0.138911253076386	-0.520726287012145	0.602557459544893	0.990580197718261
MSTRG.366	699.94354551533	0.164046470993423	0.140037145513856	1.17144969209038	0.241418068163781	0.990580197718261
MSTRG.365	837.721549508093	0.162946387953753	0.864038067998503	0.188587047248057	0.850416485446559	0.990580197718261
MSTRG.364	169.850109404136	-0.428256221791058	0.25651528582099	-1.66951540692947	0.0950152796031325	0.990580197718261
MSTRG.360	7641.03454115535	0.216543435681307	0.140347877718881	1.54290495304137	0.122853838894452	0.990580197718261
MSTRG.699	49.9951526555015	-0.407124020905903	0.296729510146783	-1.37203751896638	0.170051758286074	0.990580197718261
MSTRG.698	576.238512182138	-0.183597063020365	0.210032746101254	-0.874135421396885	0.382044509492256	0.990580197718261
MSTRG.697	2193.33046394148	-0.0685703285785593	0.141297397696975	-0.485290809995061	0.627470073505066	0.990580197718261
MSTRG.696	415.276273013272	-0.0952473363412824	0.266630821359687	-0.357225529500181	0.720922975302365	0.990580197718261
MSTRG.695	943.778949351164	-0.28531481295158	0.210074399521293	-1.35816079256559	0.174412668499498	0.990580197718261
MSTRG.693	35.2723931128614	-0.569153286283559	0.394862780377242	-1.44139512399676	0.149473087027337	0.990580197718261
MSTRG.692	55.7755285442161	-0.487528535844949	0.301305321084141	-1.618054849117	0.10565077772045	0.990580197718261
MSTRG.691	1.50278311796103	-1.70789511704952	1.99156265470331	-0.857565345994074	0.391132517310739	0.990580197718261
MSTRG.690	79.9342502993705	-0.157674161719529	0.317194158631118	-0.497090370137922	0.619125325140321	0.990580197718261
MSTRG.1017	1243.87426231345	0.0199098492057499	0.106752565393791	0.186504644008377	0.852049037359566	0.990580197718261
MSTRG.1016	977.978950001836	0.154193802536221	0.233771953262828	0.659590683929743	0.509516534240916	0.990580197718261
MSTRG.1015	124.948072703169	0.297943707487646	0.165788336441852	1.79713310285942	0.0723144915997804	0.990580197718261
MSTRG.1014	1271.48490221974	0.151056249899998	0.190346337393548	0.793586322534187	0.427436297515712	0.990580197718261
MSTRG.1013	31996.5725995775	0.108410489157262	0.192851881298347	0.562143798792135	0.574018049112311	0.990580197718261
NM_001032726	2.08634427584043	-0.904486414662678	1.91716693219888	-0.4717828163379	0.637081817444227	0.990580197718261
MSTRG.1011	63.4183230931793	0.208615055126631	0.256657419932169	0.812815211739312	0.416324012680569	0.990580197718261
MSTRG.1010	39465.99651891	-0.0897430018904688	0.240423471889762	-0.373270551269708	0.708947091824119	0.990580197718261
MSTRG.1019	2737.75691026742	0.133715209332468	0.164428304625024	0.813212844573223	0.416096036354219	0.990580197718261
MSTRG.1018	4476.11385007441	0.050394698078864	0.10328652916815	0.48791162298446	0.625612441375818	0.990580197718261
MSTRG.965	365.734713860122	0.164972054415341	0.261273827561111	0.631414389857914	0.527769609577817	0.990580197718261
MSTRG.964	34.1130276892146	0.217553411759946	0.398224546987805	0.546308391598492	0.584853968886523	0.990580197718261
MSTRG.967	2011.87325351474	0.358483940803153	0.23025317347537	1.55691205203519	0.119491367629368	0.990580197718261
MSTRG.966	2842.49628912219	-0.0661104206774296	0.0529145760219819	-1.2493801452735	0.211526066861362	0.990580197718261
MSTRG.961	1373.91792978915	0.0111339523645318	0.168059304866282	0.0662501393385547	0.947178679003078	0.990580197718261
MSTRG.960	410.043852636912	-0.125581696503	0.179124413723908	-0.70108643423986	0.483249075780598	0.990580197718261
MSTRG.963	2.98447611824872	-1.84213807723115	1.04137395899791	-1.76894962785875	0.0769022811343902	0.990580197718261
MSTRG.962	110.811429064272	0.159471806245773	0.308599686156605	0.516759456990652	0.605324085129252	0.990580197718261
MSTRG.969	2727.3446840221	0.0761139509170119	0.15573613957541	0.488736597199113	0.625028190461482	0.990580197718261
MSTRG.89	154.703134892737	0.0814775174123876	0.348866640295849	0.233549178973639	0.81533498588336	0.990580197718261
MSTRG.88	4502.24932035254	-0.0524028463820057	0.127495306582901	-0.411017846746631	0.681059448404171	0.990580197718261
MSTRG.85	36.4436817138029	-1.1702613797408	0.511884088987343	-2.28618432359544	0.0222434774780562	0.990580197718261
MSTRG.84	27.2667354699261	0.0580457299389909	0.361178129330285	0.16071219496768	0.872320084097839	0.990580197718261
MSTRG.87	618.076173214095	-0.468744563528118	0.222105920871941	-2.11045505535344	0.0348191785699121	0.990580197718261
MSTRG.86	6328.53333916833	-0.386652813553281	0.233787603828345	-1.6538636233133	0.0981552252243972	0.990580197718261
MSTRG.81	663.006882829403	0.0785861398728399	0.204537908217392	0.384213080879438	0.700820523872151	0.990580197718261
MSTRG.80	43.4570090963006	-1.18537478923552	0.446326619971351	-2.65584604680671	0.00791097210989817	0.990580197718261
NM_001042506	0.124989265208538	-0.836905685229725	3.11653965008542	-0.268536832254576	0.788286127576592	0.990580197718261
MSTRG.694	97.3401937681358	-0.158666350535034	0.382312998459211	-0.415016887143487	0.678129540901342	0.990580197718261
NM_001166400	0.993331851597675	0.698271209452202	2.99155701358072	0.233413973486807	0.815439963543745	0.990580197718261
NM_001166401	0.341168742586037	2.04088277186254	3.08302943291578	0.661973171606207	0.50798841561867	0.990580197718261
NM_207339	0.631784678277982	2.8430593584738	3.0530456042312	0.931220730713495	0.351739396417533	0.990580197718261
NM_006307	7.08847200732784	-0.648981097662335	0.902938429161647	-0.718743467663565	0.472298995549432	0.990580197718261
NM_001011544	3.70518136345359	-1.15738883666175	1.73707535366065	-0.666285912250558	0.50522836844264	0.990580197718261
NR_027761	1.64474481341436	-0.478232427360086	0.943982092904196	-0.506611757738736	0.612427256844839	0.990580197718261
NM_152278	0.530129539138061	2.63579821263286	3.06059968539484	0.86120319008424	0.389126143403984	0.990580197718261
MSTRG.1012	2622.7623348402	0.229571440756343	0.138783780013204	1.65416621981691	0.0980937443451205	0.990580197718261
MSTRG.653	130.371076059834	-0.563685483608077	0.571637963230061	-0.986088258419634	0.324089804907374	0.990580197718261
MSTRG.208	2424.23443856617	-0.185791147771117	0.341960267570579	-0.543312090293564	0.586914941295586	0.990580197718261
MSTRG.758	1.7966286500393	-2.01871319018788	2.29255600802161	-0.880551307416017	0.378560723371261	0.990580197718261
MSTRG.759	13.5406583004599	2.08948337927488	1.22260481044926	1.70904233438038	0.0874431079686033	0.990580197718261
